T&D :- 16/01/2023 06:31:00 | EURUSD | put | 4.0222 | Counter :- 98 | 10639.97 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 99 | 10638.78 | Compounding Amt :- 7.4022
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 8.808618 | Counter :- 100 | 10632.22 | Compounding Amt :- 7.4022
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 101 | 10647.7 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 102 | 10648.76 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 103 | 10649.83 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 104 | 10648.64 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 2.6061 | Counter :- 105 | 10648.28 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 106 | 10652.02 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 107 | 10650.83 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 2.6061 | Counter :- 108 | 10650.48 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 109 | 10649.29 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 110 | 10648.1 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 111 | 10646.91 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 8.539559 | Counter :- 112 | 10640.62 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 113 | 10639.43 | Compounding Amt :- 15.715659
