T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 43 | 11425.51 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 4.0222 | Counter :- 44 | 11421.36 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 45 | 11425.4 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 46 | 11422.09 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 47 | 11419.96 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 48 | 11415.2 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 49 | 11393.28 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 4.0222 | Counter :- 50 | 11389.13 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 51 | 11393.17 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 52 | 11389.6 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 2.6061 | Counter :- 53 | 11358.29 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 54 | 11354.72 | Compounding Amt :- 4.7961
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 55 | 11256.17 | Compounding Amt :- 5.9861
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 7.123459 | Counter :- 56 | 11310.18 | Compounding Amt :- 5.9861
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 57 | 11307.8 | Compounding Amt :- 13.109559
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 15.600375210000001 | Counter :- 58 | 11294.09 | Compounding Amt :- 13.109559
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 59 | 11296.65 | Compounding Amt :- 28.70993421
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 60 | 11294.27 | Compounding Amt :- 29.89993421
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 35.580921709900004 | Counter :- 61 | 11259.75 | Compounding Amt :- 29.89993421
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 62 | 11257.37 | Compounding Amt :- 65.48085591990001
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 63 | 11254.99 | Compounding Amt :- 66.6708559199
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 64 | 11249.19 | Compounding Amt :- 67.8608559199
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 65 | 11258.59 | Compounding Amt :- 69.0508559199
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 66 | 11257.05 | Compounding Amt :- 70.2408559199
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 83.586618544681 | Counter :- 67 | 11179.45 | Compounding Amt :- 70.2408559199
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 68 | 11336.35 | Compounding Amt :- 153.827474464581
